Vocab size: 100
Model config: {'vocab_size': 100, 'd_model': 256, 'd_ff': 2048, 'n_head': 8, 'd_kv': 64, 'n_encoder_layers': 4, 'n_decoder_layers': 4, 'dropout': 0.04, 'attn_dropout': 0.0, 'relative_attention_num_buckets': 32, 'relative_attention_max_distance': 128}
Pretrained: embedding mapped 38/100 tokens
Pretrained: loaded encoder (4L) + decoder (4L) weights from /home/saumya/.cache/autoresearch/pretrained/models/pretrain/simple
Total parameters: 14,712,576
Estimated FLOPs per sample: 8.827546e+07
Time budget: 300s

step 01599 (11.5%) | loss: 0.084653 | mae: 33.03 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01600 (11.5%) | loss: 0.081498 | mae: 31.57 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01601 (11.5%) | loss: 0.081275 | mae: 29.11 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01602 (11.5%) | loss: 0.080963 | mae: 34.14 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 265s    
step 01603 (11.5%) | loss: 0.078995 | mae: 38.33 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 265s    
step 01604 (11.5%) | loss: 0.076356 | mae: 35.38 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 265s    
step 01605 (11.5%) | loss: 0.075622 | mae: 32.90 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 265s    
step 01606 (11.5%) | loss: 0.075735 | mae: 34.25 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 265s    
step 01607 (11.5%) | loss: 0.075803 | mae: 34.13 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 265s    
step 01608 (11.5%) | loss: 0.076869 | mae: 35.93 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 265s    
step 01609 (11.5%) | loss: 0.076179 | mae: 34.39 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 265s    
step 01610 (11.6%) | loss: 0.076031 | mae: 28.33 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 265s    
step 01611 (11.6%) | loss: 0.075088 | mae: 26.65 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 265s    
step 01612 (11.6%) | loss: 0.073835 | mae: 32.02 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 265s    
step 01613 (11.6%) | loss: 0.073577 | mae: 26.26 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 265s    
step 01614 (11.6%) | loss: 0.075100 | mae: 32.50 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 265s    
step 01615 (11.6%) | loss: 0.074169 | mae: 21.64 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 265s    
step 01616 (11.6%) | loss: 0.074306 | mae: 26.42 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 265s    
step 01617 (11.6%) | loss: 0.074696 | mae: 28.21 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 265s    
step 01618 (11.6%) | loss: 0.072773 | mae: 36.48 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01619 (11.6%) | loss: 0.074210 | mae: 34.32 | lrm: 1.00 | dt: 23ms | epoch: 11 | remaining: 265s    
step 01620 (11.6%) | loss: 0.074556 | mae: 38.58 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01621 (11.6%) | loss: 0.072885 | mae: 35.73 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01622 (11.6%) | loss: 0.073157 | mae: 28.90 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01623 (11.7%) | loss: 0.072988 | mae: 36.04 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01624 (11.7%) | loss: 0.073186 | mae: 30.19 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01625 (11.7%) | loss: 0.073149 | mae: 33.61 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01626 (11.7%) | loss: 0.074666 | mae: 33.65 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 265s    
step 01627 (11.7%) | loss: 0.074792 | mae: 26.39 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01628 (11.7%) | loss: 0.079408 | mae: 30.92 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01629 (11.7%) | loss: 0.078895 | mae: 26.45 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01630 (11.7%) | loss: 0.079939 | mae: 31.09 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01631 (11.7%) | loss: 0.081648 | mae: 27.99 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01632 (11.7%) | loss: 0.080129 | mae: 28.23 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01633 (11.7%) | loss: 0.080014 | mae: 26.43 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01634 (11.7%) | loss: 0.080773 | mae: 31.85 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01635 (11.7%) | loss: 0.081704 | mae: 27.29 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01636 (11.7%) | loss: 0.081138 | mae: 26.92 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01637 (11.8%) | loss: 0.079330 | mae: 33.86 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01638 (11.8%) | loss: 0.079519 | mae: 28.92 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01639 (11.8%) | loss: 0.078763 | mae: 33.57 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01640 (11.8%) | loss: 0.079776 | mae: 32.44 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01641 (11.8%) | loss: 0.080192 | mae: 33.85 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01642 (11.8%) | loss: 0.083188 | mae: 35.82 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01643 (11.8%) | loss: 0.079575 | mae: 34.87 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01644 (11.8%) | loss: 0.077260 | mae: 27.98 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01645 (11.8%) | loss: 0.075025 | mae: 31.60 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01646 (11.8%) | loss: 0.074048 | mae: 26.22 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 265s    
step 01647 (11.8%) | loss: 0.076486 | mae: 27.89 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 265s    
step 01648 (11.8%) | loss: 0.077117 | mae: 22.54 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01649 (11.8%) | loss: 0.078332 | mae: 36.69 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01650 (11.8%) | loss: 0.077054 | mae: 38.91 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01651 (11.9%) | loss: 0.076493 | mae: 32.04 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01652 (11.9%) | loss: 0.075037 | mae: 37.37 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01653 (11.9%) | loss: 0.075011 | mae: 36.14 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01654 (11.9%) | loss: 0.072526 | mae: 31.66 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01655 (11.9%) | loss: 0.073067 | mae: 36.73 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01656 (11.9%) | loss: 0.071635 | mae: 34.40 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01657 (11.9%) | loss: 0.072084 | mae: 31.28 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 264s    
step 01658 (11.9%) | loss: 0.071564 | mae: 39.51 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01659 (11.9%) | loss: 0.072488 | mae: 32.55 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01660 (11.9%) | loss: 0.073130 | mae: 39.10 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01661 (11.9%) | loss: 0.070991 | mae: 31.49 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01662 (11.9%) | loss: 0.072451 | mae: 26.93 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01663 (11.9%) | loss: 0.072758 | mae: 28.21 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01664 (11.9%) | loss: 0.070407 | mae: 35.51 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01665 (12.0%) | loss: 0.071292 | mae: 37.86 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 264s    
step 01666 (12.0%) | loss: 0.070173 | mae: 25.48 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 264s    
step 01667 (12.0%) | loss: 0.072172 | mae: 37.89 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01668 (12.0%) | loss: 0.073038 | mae: 34.40 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01669 (12.0%) | loss: 0.073244 | mae: 34.71 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 264s    
step 01670 (12.0%) | loss: 0.071440 | mae: 29.99 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01671 (12.0%) | loss: 0.071681 | mae: 35.00 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01672 (12.0%) | loss: 0.074027 | mae: 37.24 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01673 (12.0%) | loss: 0.075824 | mae: 28.40 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01674 (12.0%) | loss: 0.072369 | mae: 32.05 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01675 (12.0%) | loss: 0.072030 | mae: 25.32 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 264s    
step 01676 (12.0%) | loss: 0.072575 | mae: 37.78 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 264s    
step 01677 (12.0%) | loss: 0.070878 | mae: 33.19 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01678 (12.0%) | loss: 0.071324 | mae: 36.40 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01679 (12.1%) | loss: 0.073917 | mae: 31.46 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01680 (12.1%) | loss: 0.072234 | mae: 30.73 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01681 (12.1%) | loss: 0.069474 | mae: 40.98 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01682 (12.1%) | loss: 0.069278 | mae: 33.40 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01683 (12.1%) | loss: 0.068275 | mae: 26.44 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 264s    
step 01684 (12.1%) | loss: 0.067232 | mae: 31.11 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 264s    
step 01685 (12.1%) | loss: 0.066993 | mae: 33.53 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01686 (12.1%) | loss: 0.068346 | mae: 27.69 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01687 (12.1%) | loss: 0.067489 | mae: 21.69 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01688 (12.1%) | loss: 0.067598 | mae: 33.89 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 264s    
step 01689 (12.1%) | loss: 0.068745 | mae: 36.23 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 264s    
step 01690 (12.1%) | loss: 0.066954 | mae: 34.34 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01691 (12.1%) | loss: 0.068423 | mae: 24.14 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01692 (12.1%) | loss: 0.068421 | mae: 26.91 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 264s    
step 01693 (12.2%) | loss: 0.070475 | mae: 26.35 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 264s    
step 01694 (12.2%) | loss: 0.070072 | mae: 33.99 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01695 (12.2%) | loss: 0.069569 | mae: 33.23 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01696 (12.2%) | loss: 0.070373 | mae: 37.68 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01697 (12.2%) | loss: 0.070760 | mae: 33.17 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01698 (12.2%) | loss: 0.070153 | mae: 23.21 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01699 (12.2%) | loss: 0.070132 | mae: 29.37 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01700 (12.2%) | loss: 0.068831 | mae: 34.57 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01701 (12.2%) | loss: 0.069900 | mae: 32.06 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01702 (12.2%) | loss: 0.071229 | mae: 29.78 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01703 (12.2%) | loss: 0.071877 | mae: 37.72 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01704 (12.2%) | loss: 0.070451 | mae: 25.06 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01705 (12.2%) | loss: 0.071091 | mae: 23.49 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01706 (12.3%) | loss: 0.071270 | mae: 31.90 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01707 (12.3%) | loss: 0.071667 | mae: 20.95 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01708 (12.3%) | loss: 0.070354 | mae: 30.08 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01709 (12.3%) | loss: 0.069247 | mae: 26.69 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01710 (12.3%) | loss: 0.069296 | mae: 26.60 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01711 (12.3%) | loss: 0.072794 | mae: 31.87 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01712 (12.3%) | loss: 0.072425 | mae: 36.58 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01713 (12.3%) | loss: 0.071830 | mae: 29.00 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01714 (12.3%) | loss: 0.070512 | mae: 30.97 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01715 (12.3%) | loss: 0.070675 | mae: 34.43 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01716 (12.3%) | loss: 0.070029 | mae: 21.48 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01717 (12.3%) | loss: 0.072561 | mae: 41.10 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 263s    
step 01718 (12.3%) | loss: 0.070569 | mae: 40.26 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01719 (12.3%) | loss: 0.071020 | mae: 29.31 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01720 (12.4%) | loss: 0.069175 | mae: 32.26 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01721 (12.4%) | loss: 0.069664 | mae: 30.61 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01722 (12.4%) | loss: 0.069132 | mae: 28.49 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01723 (12.4%) | loss: 0.068287 | mae: 28.30 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01724 (12.4%) | loss: 0.069044 | mae: 34.75 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01725 (12.4%) | loss: 0.069799 | mae: 32.70 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01726 (12.4%) | loss: 0.068033 | mae: 32.24 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 263s    
step 01727 (12.4%) | loss: 0.067053 | mae: 26.83 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 263s    
step 01728 (12.4%) | loss: 0.066981 | mae: 27.75 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01729 (12.4%) | loss: 0.067474 | mae: 28.58 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01730 (12.4%) | loss: 0.067786 | mae: 34.95 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01731 (12.4%) | loss: 0.068639 | mae: 25.74 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01732 (12.4%) | loss: 0.069772 | mae: 35.70 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 263s    
step 01733 (12.4%) | loss: 0.068112 | mae: 36.45 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01734 (12.5%) | loss: 0.070229 | mae: 27.57 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01735 (12.5%) | loss: 0.069583 | mae: 36.78 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01736 (12.5%) | loss: 0.069272 | mae: 37.52 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01737 (12.5%) | loss: 0.067606 | mae: 28.75 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01738 (12.5%) | loss: 0.067926 | mae: 28.49 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 263s    
step 01739 (12.5%) | loss: 0.070313 | mae: 34.97 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 263s    
step 01740 (12.5%) | loss: 0.071428 | mae: 26.33 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01741 (12.5%) | loss: 0.068836 | mae: 36.08 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01742 (12.5%) | loss: 0.067968 | mae: 32.44 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01743 (12.5%) | loss: 0.070113 | mae: 25.84 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01744 (12.5%) | loss: 0.070711 | mae: 33.39 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01745 (12.5%) | loss: 0.071108 | mae: 33.08 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01746 (12.5%) | loss: 0.073541 | mae: 26.23 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01747 (12.5%) | loss: 0.073422 | mae: 33.18 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01748 (12.6%) | loss: 0.074681 | mae: 32.76 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01749 (12.6%) | loss: 0.074573 | mae: 34.42 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01750 (12.6%) | loss: 0.075705 | mae: 28.76 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01751 (12.6%) | loss: 0.073959 | mae: 28.44 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01752 (12.6%) | loss: 0.075323 | mae: 28.33 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01753 (12.6%) | loss: 0.074308 | mae: 28.71 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01754 (12.6%) | loss: 0.071907 | mae: 30.72 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01755 (12.6%) | loss: 0.067675 | mae: 32.91 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01756 (12.6%) | loss: 0.070390 | mae: 27.46 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01757 (12.6%) | loss: 0.068726 | mae: 35.26 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01758 (12.6%) | loss: 0.069113 | mae: 30.22 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01759 (12.6%) | loss: 0.070447 | mae: 30.77 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01760 (12.6%) | loss: 0.069694 | mae: 27.32 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01761 (12.6%) | loss: 0.071644 | mae: 28.00 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01762 (12.7%) | loss: 0.070716 | mae: 30.18 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01763 (12.7%) | loss: 0.069987 | mae: 29.82 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01764 (12.7%) | loss: 0.070201 | mae: 31.84 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01765 (12.7%) | loss: 0.070368 | mae: 32.25 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01766 (12.7%) | loss: 0.069731 | mae: 35.31 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01767 (12.7%) | loss: 0.072444 | mae: 29.12 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01768 (12.7%) | loss: 0.074790 | mae: 29.36 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 262s    
step 01769 (12.7%) | loss: 0.075066 | mae: 33.27 | lrm: 1.00 | dt: 21ms | epoch: 11 | remaining: 262s    
step 01770 (12.7%) | loss: 0.074930 | mae: 31.65 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01771 (12.7%) | loss: 0.076201 | mae: 27.00 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01772 (12.7%) | loss: 0.076536 | mae: 29.82 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01773 (12.7%) | loss: 0.080956 | mae: 29.01 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01774 (12.7%) | loss: 0.080906 | mae: 35.24 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01775 (12.7%) | loss: 0.078847 | mae: 34.98 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01776 (12.8%) | loss: 0.078166 | mae: 33.64 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01777 (12.8%) | loss: 0.076101 | mae: 31.86 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01778 (12.8%) | loss: 0.077022 | mae: 32.44 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01779 (12.8%) | loss: 0.078348 | mae: 30.06 | lrm: 1.00 | dt: 22ms | epoch: 11 | remaining: 262s    
step 01780 (12.8%) | loss: 0.076744 | mae: 26.90 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 262s    
step 01781 (12.8%) | loss: 0.078390 | mae: 35.17 | lrm: 1.00 | dt: 23ms | epoch: 12 | remaining: 262s    
step 01782 (12.8%) | loss: 0.076752 | mae: 37.55 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 262s    
step 01783 (12.8%) | loss: 0.076595 | mae: 26.91 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 262s    
step 01784 (12.8%) | loss: 0.074590 | mae: 33.34 | lrm: 1.00 | dt: 21ms | epoch: 12 | remaining: 262s    
step 01785 (12.8%) | loss: 0.073414 | mae: 36.57 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 262s    
step 01786 (12.8%) | loss: 0.073051 | mae: 35.63 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01787 (12.8%) | loss: 0.075331 | mae: 32.97 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01788 (12.8%) | loss: 0.073528 | mae: 34.27 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01789 (12.9%) | loss: 0.074378 | mae: 34.37 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01790 (12.9%) | loss: 0.074286 | mae: 30.72 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01791 (12.9%) | loss: 0.072780 | mae: 31.41 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01792 (12.9%) | loss: 0.071006 | mae: 31.04 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01793 (12.9%) | loss: 0.068675 | mae: 36.23 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01794 (12.9%) | loss: 0.067521 | mae: 30.87 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01795 (12.9%) | loss: 0.068257 | mae: 33.05 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01796 (12.9%) | loss: 0.068413 | mae: 29.07 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01797 (12.9%) | loss: 0.068117 | mae: 30.26 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01798 (12.9%) | loss: 0.069197 | mae: 30.50 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01799 (12.9%) | loss: 0.070668 | mae: 28.51 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01800 (12.9%) | loss: 0.070316 | mae: 32.14 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01801 (12.9%) | loss: 0.071439 | mae: 26.14 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01802 (12.9%) | loss: 0.071024 | mae: 30.13 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01803 (13.0%) | loss: 0.072462 | mae: 40.17 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01804 (13.0%) | loss: 0.074654 | mae: 28.45 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
step 01805 (13.0%) | loss: 0.073235 | mae: 29.28 | lrm: 1.00 | dt: 22ms | epoch: 12 | remaining: 261s    
