trial	val_mae	memory_gb	status	description
5	12.1267	3.6	ok	batch_size=32 beta1=0.9 dropout=0.3 head_dropout=0.25 head_type=mlp learning_rate=0.0018832519048593583 lr_schedule=linear warmup_ratio=0.0 weight_decay=0.031164906341377897
0	7.4459	5.8	ok	batch_size=64 beta1=0.85 dropout=0.2 head_dropout=0.35000000000000003 head_type=linear learning_rate=0.0003574712922600243 lr_schedule=cosine warmup_ratio=0.0 weight_decay=0.04753571532049581
1	5.8169	1.6	ok	batch_size=16 beta1=0.85 dropout=0.15000000000000002 head_dropout=0.4 head_type=mlp learning_rate=0.0002814509271606064 lr_schedule=linear warmup_ratio=0.02 weight_decay=0.026237821581611892
2	6.2517	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.25 head_type=linear learning_rate=0.00012476394272569445 lr_schedule=cosine warmup_ratio=0.0 weight_decay=0.04744427686266667
3	5.7349	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.1 head_type=mlp learning_rate=0.000642033033629786 lr_schedule=linear warmup_ratio=0.0 weight_decay=0.009242722776276352
4	6.1764	2.4	ok	batch_size=24 beta1=0.85 dropout=0.0 head_dropout=0.4 head_type=mlp learning_rate=0.00026000059117302663 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.027134804157912425
5	11.1599	3.6	ok	batch_size=32 beta1=0.9 dropout=0.3 head_dropout=0.25 head_type=mlp learning_rate=0.0018832519048593583 lr_schedule=linear warmup_ratio=0.0 weight_decay=0.031164906341377897
6	9.3010	2.8	ok	batch_size=24 beta1=0.85 dropout=0.3 head_dropout=0.1 head_type=mlp learning_rate=0.0005917520523090669 lr_schedule=cosine warmup_ratio=0.06 weight_decay=0.021377050917927482
7	11.8289	3.6	ok	batch_size=32 beta1=0.95 dropout=0.25 head_dropout=0.45 head_type=mlp learning_rate=0.0023619797107806506 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.04040601897822085
8	9.0389	3.6	ok	batch_size=32 beta1=0.85 dropout=0.15000000000000002 head_dropout=0.35000000000000003 head_type=mlp learning_rate=0.00010239273411172726 lr_schedule=cosine warmup_ratio=0.04 weight_decay=0.02553736512887829
9	6.1538	3.6	ok	batch_size=32 beta1=0.95 dropout=0.05 head_dropout=0.25 head_type=linear learning_rate=0.0002634777514406047 lr_schedule=linear warmup_ratio=0.14 weight_decay=0.0018443473677266398
